dep,NB_total,NB2_total,NB,NB2,ShareS2,r10,r25,r50,r100,PrixMoyen,PrixMoyenS2,depmoyen,depmoyenS2
61,6,3.0,6,3.0,0.5,16.666666666666664,16.666666666666664,0.0,0.0,53.13333333333333,56.06666666666666,5.843293492695876,11.687
62,32,11.0,32,11.0,0.34375,21.875,18.75,9.375,0.0,54.85625,63.74545454545455,9.275398406374503,26.983
63,81,10.0,81,10.0,0.12345679012345678,9.876543209876543,7.4074074074074066,2.4691358024691357,0.0,52.26341463414634,67.12,4.110387717422989,33.705
64,72,26.0,71,26.0,0.36619718309859156,19.718309859154928,15.492957746478872,1.4084507042253522,0.0,53.52916666666667,59.077777777777776,6.631806108897741,17.685
65,12,1.0,12,1.0,0.08333333333333333,0.0,0.0,0.0,0.0,50.20000000000001,50.2,1.4154237764145422e-14,0.0
66,33,8.0,33,8.0,0.24242424242424243,9.090909090909092,9.090909090909092,6.0606060606060606,0.0,53.27352941176471,63.2625,6.122568549332091,26.021
67,145,84.0,145,84.0,0.5793103448275863,54.48275862068965,52.41379310344828,21.379310344827587,0.0,63.50204081632653,73.20470588235294,26.498089275550846,45.826
68,45,27.0,45,27.0,0.6,55.55555555555556,51.11111111111111,33.33333333333333,0.0,65.74666666666667,76.11111111111111,30.96945551128818,51.616
69,272,179.0,270,177.0,0.6555555555555556,61.48148148148148,60.370370370370374,51.11111111111111,2.5925925925925926,71.41829044117648,82.44231843575419,42.26751083899696,64.228
70,5,2.0,5,2.0,0.4,40.0,40.0,0.0,0.0,56.720000000000006,66.5,12.988047808764946,32.47
71,28,7.0,28,7.0,0.25,25.0,25.0,14.285714285714285,0.0,57.4,79.0,14.342629482071704,57.371
72,22,3.0,22,3.0,0.13636363636363635,4.545454545454546,4.545454545454546,4.545454545454546,0.0,51.78181818181818,61.800000000000004,3.1510322346975665,23.108
73,34,18.0,34,18.0,0.5294117647058824,52.94117647058824,52.94117647058824,5.88235294117647,0.0,62.097058823529416,72.67222222222222,23.69932036559644,44.765
74,57,35.0,57,35.0,0.6140350877192983,61.40350877192983,54.385964912280706,45.614035087719294,0.0,67.81525423728813,78.28918918918919,35.090147883044075,55.955
75,1016,700.0,1010,695.0,0.6881188118811881,67.22772277227723,64.75247524752476,58.01980198019802,25.84158415841584,83.62432038834952,98.34972027972029,66.58231153057672,95.916
76,76,38.0,76,38.0,0.5,47.368421052631575,44.73684210526316,23.684210526315788,0.0,62.30759493670886,73.52926829268293,24.118715013364255,46.473
77,58,31.0,57,31.0,0.543859649122807,45.614035087719294,43.859649122807014,33.33333333333333,1.7543859649122806,64.45166666666667,75.35000000000001,28.389774236387776,50.1
78,102,65.0,102,65.0,0.6372549019607843,60.78431372549019,59.80392156862745,49.01960784313725,9.803921568627452,74.23980582524271,87.71666666666667,47.888059412834075,74.734
79,7,3.0,7,3.0,0.42857142857142855,28.57142857142857,28.57142857142857,14.285714285714285,0.0,56.285714285714285,64.39999999999999,12.122936824132035,28.287
80,34,7.0,33,7.0,0.21212121212121213,9.090909090909092,9.090909090909092,6.0606060606060606,0.0,52.59411764705882,61.82857142857143,4.7691586594797215,23.164
81,13,5.0,13,5.0,0.38461538461538464,7.6923076923076925,7.6923076923076925,0.0,0.0,51.614285714285714,53.5,2.8173022196926514,6.574
82,5,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
83,89,33.0,88,32.0,0.36363636363636365,27.27272727272727,27.27272727272727,14.772727272727273,3.4090909090909087,59.03068181818182,74.484375,17.59099963781238,48.375
84,39,11.0,39,11.0,0.28205128205128205,23.076923076923077,23.076923076923077,5.128205128205128,2.564102564102564,55.7875,70.51818181818182,11.130478087649399,40.474
85,18,5.0,18,5.0,0.2777777777777778,22.22222222222222,22.22222222222222,11.11111111111111,0.0,56.488888888888894,72.84,12.52766710934042,45.1
86,17,4.0,17,4.0,0.23529411764705882,11.76470588235294,11.76470588235294,5.88235294117647,0.0,53.138888888888886,63.425000000000004,5.854360336432038,26.345
87,29,3.0,28,3.0,0.10714285714285714,10.714285714285714,10.714285714285714,0.0,0.0,51.97241379310345,67.33333333333333,3.5307047671383387,34.13
88,8,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,50.2,,0.0,
89,22,8.0,21,7.0,0.3333333333333333,9.523809523809524,4.761904761904762,0.0,0.0,51.60952380952381,54.42857142857143,2.8078163536330765,8.423
90,11,1.0,11,1.0,0.09090909090909091,0.0,0.0,0.0,0.0,50.2,50.2,0.0,0.0
91,64,33.0,63,33.0,0.5238095238095238,46.03174603174603,44.44444444444444,30.158730158730158,6.349206349206349,65.196875,78.42941176470588,29.87425298804781,56.234
92,132,87.0,131,86.0,0.6564885496183206,62.59541984732825,62.59541984732825,48.854961832061065,22.137404580152673,78.35114503816794,93.0813953488372,56.07797816368115,85.421
93,58,14.0,57,14.0,0.24561403508771928,15.789473684210526,14.035087719298245,10.526315789473683,0.0,54.09122807017545,66.04285714285714,7.751450338994909,31.559
94,76,43.0,75,43.0,0.5733333333333334,53.333333333333336,52.0,37.333333333333336,6.666666666666667,69.66666666666667,84.15348837209302,38.778220451527226,67.636
95,52,28.0,51,27.0,0.5294117647058824,47.05882352941176,47.05882352941176,37.254901960784316,1.9607843137254901,66.54705882352941,81.07777777777777,32.56386219826575,61.51
201,14,2.0,14,2.0,0.14285714285714285,7.142857142857142,7.142857142857142,0.0,0.0,51.25714285714286,57.6,2.1058622652248142,14.741
202,15,9.0,15,9.0,0.6,26.666666666666668,26.666666666666668,0.0,0.0,55.8875,59.3,11.329681274900398,18.127
0,5439,2436.0,5410,2418.0,0.4469500924214418,0.38576709796672826,0.36506469500924216,0.24972273567467654,0.06062846580406654,63.86873641796451,80.45200901803608,27.229,60.2629661713866
