BOR;AN;nofinesset;nofinessej;PSY_A22;PSY_A23;PSY_A24;PSY_A25;PSY_A26;PSY_A27;PSY_A28;PSY_B23;PSY_B24;PSY_B25;PSY_B26;PSY_B27;PSY_B28;PSY_C22;PSY_C23;PSY_C24;PSY_C25;PSY_C26;PSY_C27;PSY_C28;PSY_D22;PSY_D23;PSY_D24;PSY_D25;PSY_D26;PSY_D27;PSY_D28;PSY_E22;PSY_E23;PSY_E24;PSY_E25;PSY_E26;PSY_E27;PSY_E28;PSY_A38;PSY_B38;PSY_A39;PSY_B39;PSY_A40;PSY_B40;PSY_A41;PSY_B41;PSY_A42;PSY_B42;PSY_A43;PSY_A44
PSY2;2020;220000210;220000210;11386;46;;;;202;138;46;;;;231;152;36492;2489;;;;5068;1734;11835;259;;;;358;70;99412;522;;;;871;206;1;1.05;1;22.64;1;9.23;0;;0;;0;0
PSY2;2020;220000236;220017974;2175;72;16;;2;146;90;76;16;;2;150;91;25016;11464;2167;;459;5222;2702;21;;;;;;;13323;57;;;;10;6;0;;0;;0;;1;86.59;0;;0;0
PSY2;2020;220000319;220000681;620;;;;;;;;;;;;;22135;;;;;;;2605;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;220000327;220024384;1053;;;;;;;;;;;;;33218;;;;;;;9387;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;220012751;220017974;3491;9;;;;13;6;9;;;;13;6;;;;;;;;6583;;;;;;;37330;174;;;;130;21;0;;0;;0;;0;;0;;0;0
PSY2;2020;230000853;230780074;562;27;1;;;78;54;34;1;;;100;56;24736;1236;144;;;2914;1137;6691;82;;;;86;12;45544;337;;;;462;130;0;;1;4.51;1;8.08;0;;0;;0;0
PSY2;2020;230780181;230000879;497;;;;;;;;;;;;;15709;;;;;;;;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;240000463;240000083;9500;93;3;10;6;274;142;94;3;11;8;299;149;38379;2924;131;122;98;10005;4507;14328;367;3;237;0;401;188;121847;995;3;52;2;2426;1175;1;0.5;1;0.5;0;;0;;0;;0;1
PSY2;2020;240000489;240000117;4878;26;0;0;7;84;28;40;;;10;106;28;16096;1076;0;0;75;2390;604;1532;;;;;;;51469;;;;;;;1;8.58;0;;1;35.86;0;;0;;0;0
PSY2;2020;240000646;240000265;309;;;;;;;;;;;;;78245;;;;;;;250;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;240000687;240000448;179;23;;1;;33;8;34;;1;;35;8;7107;924;;;;981;126;1408;24;;;;101;0;9457;591;;11;;216;26;0;;0;;0;;0;;0;;0;0
PSY2;2020;250000023;250000015;691;;;;;;;;;;;;;14050;;;;;;;;;;;;;;;;;;;;;;;;;1;2;0;;0;;0;0
PSY2;2020;250000619;250000452;1405;15;;;;77;5;10;;;;115;3;10528;508;;;;2427;53;2192;;;;;257;;12176;132;;;;1607;20;1;;0;;0;;0;;0;;0;0
PSY2;2020;250000718;250000460;8094;58;9;1;20;272;60;59;9;1;24;306;65;57992;2298;1155;5;253;12157;2046;6318;18;;;;83;39;76791;612;146;;;965;144;1;;1;;1;;0;;0;;0;0
PSY2;2020;250005196;250001013;12;;;;;;;;;;;;;;;;;;;;3152;;;;;;;;;;;;;;0;;0;;0;;0;;0;;0;0
PSY2;2020;250006954;250000015;2232;;;;13;;;;;;13;;;;;;;;;;;;;;;;;13276;;;;114;;;1;1.45;0;;1;;1;;0;;0;
