BOR;AN;nofinesset;nofinessej;LIT_MED;JLI_MED;SEJHC_MED;SEJ0_MED;JOU_MED;LIT_CHI;JLI_CHI;SEJHC_CHI;SEJ0_CHI;JOU_CHI;LIT_OBS;JLI_OBS;SEJHC_OBS;SEJ0_OBS;JOU_OBS;LIT_MCO;JLI_MCO;SEJHC_MCO;SEJ0_MCO;JOU_MCO;PLA_MED;SEJHP_MED;PLAN_MED;SEJN_MED;SEA_MED;PLA_CHI;SEJHP_CHI;PLA_OBS;SEJHP_OBS;PLAN_OBS;SEJN_OBS;PLA_MCO;SEJHP_MCO;PLAN_MCO;SEJN_MCO;SEA_MCO;PCAR;PDER;PEND;PGAS;PNEU;PPED;PPNE;PRHU;POPH;DEND;DNEU;DPED;DOPH;ACTCLI_PM;ACTCLI_SAG;ACTTEC_PM;ACTTEC_DEN;ACTTEC_SAG;ACTTEC_PNM;PCON;PACT
MCO;2020;060785003;060785011;351;135459;22431;5010;91852;220;77631;12526;380;54437;;;0;0;0;571;213090;34957;5390;146289;48;4418;0;0;29089;30;4046;;0;;;78;8464;0;0;29089;1;0;0;0;1;0;1;1;1;;;;;123449;1;91409;306;2;51432;;
MCO;2020;060788957;060785011;73;18474;2010;13;17590;0;0;0;0;0;0;0;0;0;0;73;18474;2010;13;17590;4;1958;;;89;;0;;0;;;4;1958;;;89;0;0;0;0;0;0;0;0;0;;;;;15195;0;16009;7708;0;3023;;
MCO;2020;060789195;060785011;293;105258;11256;3148;79666;71;23100;2135;154;10854;74;27084;5500;1227;18155;438;155442;18891;4529;108675;58;2862;0;0;15125;10;689;11;382;0;0;79;3933;0;0;15125;0;1;1;1;0;0;0;0;0;;;;;93152;8069;34383;135;21997;45911;;
MCO;2020;060791811;060010808;91;33215;2257;16;27060;;;0;0;0;;;0;0;0;91;33215;2257;16;27060;4;635;0;0;85;;0;;0;;;4;635;0;0;85;1;1;1;1;1;0;1;1;1;8;30;;8;2185;0;1439;0;0;12961;;
MCO;2020;060791860;060790797;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;36039;;0;;0;;;;0;;;36039;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060792926;920033636;;;0;0;0;;;0;0;0;;;0;0;0;;;0;0;0;;0;;;13224;;0;;0;;;;0;;;13224;;;;;;;;;;;;;;;;;;;;;
MCO;2020;060794013;060790797;44;16060;2015;45;12508;24;8760;2506;1125;3358;;;0;0;0;68;24820;4521;1170;15866;;0;;;0;;0;;0;;;;0;;;0;1;0;0;0;0;0;0;0;0;;;;;2253;;7020;;;;;
MCO;2020;060800166;060780608;139;50735;3876;159;25241;83;30295;3302;116;11788;;;0;0;0;222;81030;7178;275;37029;20;101;;;8833;35;11573;;0;;;55;11674;;;8833;;;;;;;;;;;;;;;;;;;;;
MCO;2020;070000013;070002878;72;26352;2351;424;18545;15;5490;1064;18;3554;0;0;48;48;0;87;31842;3463;490;22099;8;68;;;1212;8;1419;;0;;;16;1487;;;1212;1;0;1;1;1;0;1;1;1;;;;;10616;1417;24337;;1053;4307;;
MCO;2020;070000021;070007927;15;5475;84;0;1189;;;0;0;0;;;0;0;0;15;5475;84;0;1189;0;2;;;0;;0;;0;;;0;2;;;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
