BOR;AN;nofinesset;nofinessej;SMUR;GEN;SAIS;PED;ANT;FIAUTOR;ANTSAIS;SAMU;HMED;HIDE;HAMB;AMBLCE;VEHLEG;MOYAER;MOYMAR;SORTER1;SORTER2;dtTIH;SORAER1;SORAER2;SORMAR;SORTIES;SORTNM;PATDC;PATLSP;PATTSP;PATTRANM;TRAN;TRAN18;TRAN80;TRANSIEG;TRANAUT;APP;APR15;APD;APMIN;DR;DRM;DRMLIB;HMR;HMRAMU;HMRAM;ARM;NRML;NBLIB;NBSAL;CAR;SAMUSDIS
SMURSAMU;2017;060785003;060785011;1;1;0;0;0;;0;1;574;574;574;4;4;1;;3250;3077;0;224;162;0;6713;1445;303;10;284;742;1969;;;1358;611;392776;;392776;;246269;201352;62325;603;322;208;1008;0;6;;9761;0
SMURSAMU;2017;060789195;060785011;1;1;0;0;0;;0;0;0;84;0;;;;;0;150;221;;80;;451;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2017;070000013;070002878;1;1;0;0;0;;0;1;168;168;0;;1;;;495;24;;;;;519;106;54;13;29;10;357;42;100;279;78;127428;;118931;115421;92450;76241;25931;848;165;119;304;0;74;0;877;1
SMURSAMU;2017;070000179;070780358;1;1;0;0;0;;0;0;168;168;168;;;;;594;5;;;;;599;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2017;070000609;070005566;1;1;0;0;0;;0;0;168;168;168;;;;;725;76;;;;;801;;;;;;;;;;;;;;;;;;;;;;;;;;
SMURSAMU;2017;080000110;080000037;1;1;0;0;0;;0;0;156;169;169;1;1;0;0;737;1;;;;;738;143;92;4;32;0;595;;;496;99;;;;;;;;;;;;;;;;
SMURSAMU;2017;080000219;080001969;1;1;0;0;0;;0;0;336;336;336;1;1;0;0;514;92;12;;;;618;490;35;4;10;0;520;42;91;442;78;;;;;;;;;;;;;;;;
SMURSAMU;2017;080000276;080001969;1;1;0;0;0;;0;0;168;168;168;1;1;;;284;46;38;;;;368;98;31;2;21;44;388;22;61;321;67;;;;;;;;;;;;;;;;
SMURSAMU;2017;080000425;080000615;1;1;0;0;0;;0;1;336;287;352;2;2;0;0;1780;465;440;0;38;0;2723;653;175;12;193;273;980;;;815;165;111250;;111250;;71482;52272;0;168;168;0;266;0;0;0;858;0
SMURSAMU;2017;080009814;080000615;1;0;0;0;1;80000615;0;0;168;;;;;;;708;7;;;;;715;340;49;;89;202;354;48;60;125;229;;;;;;;;;;;;;;;;
SMURSAMU;2017;090000175;090781774;1;1;0;0;0;;0;1;182;168;222;1;2;;;1043;428;;112;;;1583;231;149;2;50;;935;82;144;706;229;134950;;134950;;35112;25911;9220;195;168;27;216;1;0;0;883;1
SMURSAMU;2017;090000183;090781816;1;1;0;0;0;;0;0;168;168;168;1;1;;;307;133;20;;;;460;74;38;2;31;64;174;13;87;135;39;;;;;;;;;;;;;;;;
