BOR;AN;nofinesset;nofinessej;ANTGEO;NB_ANT;FI1;FI2;FI3;POP;EMSP;EQDOU;TELESUR;TELECONS;INDOM;ASTR;CONVPER;CONV;AUTMED;AUTOBS;AUTSSR;AUTCAN;PLATOT;SEJ_HAD;SEJ_PER;SEJ_PAL;SEJ_CAN;JOU_HAD;JOU_PER;JOU_PAL;JOU_CAN;FIL_HAD;FIL_PER;FIL_PAL;FIL_CAN;P80_HAD;P80_PAL;P80_CAN;PMS_HAD;PMS_PER;PMS_PAL;PMS_CAN
HAD;2020;350044772;350000626;0;;;;;263728;0;0;0;0;1;0;1;0;1;0;0;0;90;992;0;371;33;31737;0;10517;489;706;0;262;15;332;121;1;173;0;16;0
HAD;2020;360000137;360000053;1;5;360000137;360000103;360000160;217312;1;1;0;0;1;1;;;1;0;0;0;35;329;0;91;0;9317;0;1965;0;237;0;78;0;77;29;0;31;0;12;0
HAD;2020;370009938;440052041;0;;;;;420000;1;1;0;0;1;1;;;1;0;0;0;140;1216;1;610;98;42940;61;18862;1272;859;1;520;39;457;334;9;292;0;202;2
HAD;2020;370103673;370001638;1;3;;;;605511;1;1;0;0;1;1;0;0;1;0;0;0;104;1111;0;425;111;29108;0;12959;941;709;0;357;25;307;186;4;140;0;67;0
HAD;2020;380000067;380780080;0;;;;;572169;1;1;0;0;1;1;0;0;1;0;0;0;82;2445;323;115;1365;20748;5062;3189;1970;760;227;102;202;103;40;20;33;0;10;0
HAD;2020;380000174;380781435;0;;;;;190640;1;1;0;0;1;1;;;1;0;0;0;35;337;0;150;63;12789;0;5867;2290;225;0;128;23;88;67;2;11;0;9;0
HAD;2020;380000406;380780080;0;;;;;200000;;;;;;;;;1;0;0;0;30;236;0;57;1;4802;0;1723;7;98;0;47;1;32;18;0;10;0;3;0
HAD;2020;390004349;390004299;0;;;;;;;;;;;;;;1;0;0;0;60;588;0;371;53;21989;0;16252;447;399;0;306;9;170;152;1;99;0;88;1
HAD;2020;400008199;400008108;0;;;;;150000;1;0;0;0;1;0;1;0;1;0;0;0;52;477;0;211;0;14920;0;6508;0;316;0;182;0;132;95;0;69;0;56;0
HAD;2020;400780888;400000535;0;0;;;;230000;0;0;0;0;1;1;0;0;1;0;0;0;215;1059;0;379;3;76406;0;21184;3;743;0;292;2;317;129;2;34;0;19;0
HAD;2020;410005003;440052041;1;1;410005003;;;337000;1;1;0;0;1;1;;;1;0;0;1;240;1394;0;499;63;42783;0;15442;1202;1009;0;379;23;547;174;5;371;0;50;0
HAD;2020;420000010;420780033;1;5;420000010;;;;1;0;0;0;1;1;;;1;0;1;1;50;459;0;271;87;13049;0;9186;1259;291;0;199;25;103;84;6;31;0;26;0
HAD;2020;420002479;340027937;0;;;;;3139311;1;0;0;0;1;1;;;1;1;1;1;190;1369;165;301;121;52114;3421;12384;6200;900;138;266;85;173;101;10;88;2;26;2
HAD;2020;420010258;420010209;0;;;;;507620;0;0;0;0;1;1;;;1;0;0;0;100;764;0;335;97;32491;0;13374;4522;578;0;293;68;261;153;13;113;0;42;3
HAD;2020;430000117;430000018;1;2;430000117;430000117;;226835;1;0;0;0;1;1;;;1;0;0;1;64;519;0;191;39;14193;0;4791;1436;404;0;176;29;180;96;4;105;0;50;0
HAD;2020;440000271;440000289;0;;;;;;0;0;0;0;;;;;1;0;0;0;12;919;83;11;380;5657;662;91;3164;200;73;2;50;0;0;0;0;0;0;0
