BOR;AN;nofinesset;nofinessej;EMGER;EVALIH;EVALEH;FILACT;ETP;UGER;LIT_GER;PLA_GER;SEJHC_GER;SEJHP_GER;JOU_GER;EFFPL_PM;EFFPL_GER;EFFPA_PM;EFFPA_GER;ETP_PM;ETP_GER;GAR_PM;GAR_GER;AST_PM;AST_GER;EFFPL_INF;EFFPL_AID;EFFPL_ERG;EFFPL_PMT;EFFPL_APNM;EFFPA_INF;EFFPA_AID;EFFPA_ERG;EFFPA_PMT;EFFPA_APNM;ETP_INF;ETP_AID;ETP_ERG;ETP_PMT;ETP_APNM
MCOGER;2020;290000256;290000017;1;111;0;99;0.9;1;38;0;;;;4;1;3;3;4.03;2.36;;;1;;;;;;;;;;;;;;;;
MCOGER;2020;290000785;220020739;1;219;0;205;;1;28;0;940;0;9528;3;1;1;;4.05;1;0;0;1;0;9;10;;;4;4;4;;;1;11.36;12.77;;;4.2
MCOGER;2020;290000934;560005746;1;319;196;438;2;1;38;5;1017;685;13161;3;2;8;4;5.26;2.32;0;0;1;1;12;13;;;5;10;15;;;7;19.95;24.66;;;8.68
MCOGER;2020;290004324;290000017;1;1034;0;984;3.2;1;26;0;853;240;9816;4;4;2;2;2.78;2.78;0;0;0;0;6;11;0;0;4;5;7;0;0;0;11.88;14.78;0;0;2.97
MCOGER;2020;2A0000022;2A0000014;1;522;0;522;2.2;1;20;0;645;0;7017;3;;;;3;;0;;1;1;15;13;;;8;1;6;;;;14.84;13.29;;;7.53
MCOGER;2020;2B0000012;2B0000020;1;747;;692;3.4;1;30;2;936;202;10560;6;2;6;3;9.31;4.85;0;0;0;0;29;36;2;0;19;7;8;0;0;9;30.36;37.38;2;0;21.78
MCOGER;2020;300000023;300780046;1;134;0;134;2.6;1;19;0;823;0;6983;3;;;;1.95;;0;;0;;5;0;;;2;14;34;1;;21;8.66;11.38;0.26;;4.42
MCOGER;2020;300000031;300780053;1;127;0;122;2.67;1;20;2;598;11;7093;4;2;0;0;2.1;2;0;0;1;0;1;1;1;0;2;0;1;;0;3;0.5;1.75;0.5;0;2.24
MCOGER;2020;300780137;920028396;0;;;;;1;23;0;248;0;1573;3;1;1;0;3.02;0.75;0;0;1;0;11;9;0;0;0;3;3;0;0;0;12.3;11;0;0;0
MCOGER;2020;300780152;300017985;1;141;1;142;0.03;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
