,IRIS1,TYP_IRIS,NB,APL,LIB_IRIS,DEPCOM,LIBCOM
199,60790105,A,4.0,57.66915271898483,Maure Vieille-La Napoule,06079,Mandelieu-la-Napoule
200,60790106,A,1.0,98.79535310991884,Cannes Marina-La Roubine,06079,Mandelieu-la-Napoule
201,60790107,A,2.0,105.02691406714081,Le Cottage,06079,Mandelieu-la-Napoule
202,60790108,A,6.0,109.50685747878404,Le Centre Ville,06079,Mandelieu-la-Napoule
203,60790109,A,9.5,103.46510756834405,Les Termes,06079,Mandelieu-la-Napoule
204,60800000,C,0.0,14.143015955835068,Marie (commune non irisée),06080,Marie
205,60810000,C,0.0,0.0,Le Mas (commune non irisée),06081,Le Mas
206,60820000,C,0.0,66.20785739281516,Massoins (commune non irisée),06082,Massoins
207,60830101,A,1.3333333333333333,83.239553816128,Madone-Carnoles,06083,Menton
208,60830102,A,0.0,82.35916380193552,Riviera,06083,Menton
209,60830103,A,7.0,93.81639569436174,Bioves-Casino,06083,Menton
210,60830104,A,10.333333333333334,96.16070137930494,Hôtel de Ville,06083,Menton
211,60830105,A,1.0,88.6157772493523,Vieille Ville-Musée,06083,Menton
212,60830106,A,0.0,65.70641061247431,Terres Chaudes,06083,Menton
213,60830201,A,0.0,60.845198975059546,Vallée de Gorbio,06083,Menton
214,60830202,A,0.0,76.07917600639048,Haut Borrigo,06083,Menton
215,60830203,A,4.0,55.311566220944705,Saint-Paul-Garavan,06083,Menton
216,60830204,A,0.0,57.23451039653568,Ciappes-Fossan,06083,Menton
217,60830205,A,2.5,84.5778583741661,Mont Gros,06083,Menton
218,60830206,A,1.5,56.309088841746984,Carei-Monti,06083,Menton
219,60840101,A,2.0,87.23909584939395,Les Aspres-Plan Sarrain,06084,Mouans-Sartoux
220,60840102,A,5.5,89.43165645361644,Grand-Pièce-Les Plaines,06084,Mouans-Sartoux
221,60840103,A,2.0,102.766048825976,Les Indes-les Groulles,06084,Mouans-Sartoux
222,60840104,A,2.0,108.17334015958482,Les Plantiers-Le Plan,06084,Mouans-Sartoux
223,60850101,A,6.0,121.91151201869245,Village-Le Val-Cabrières,06085,Mougins
224,60850102,A,0.0,142.78956149224368,Aubarède-Campelières,06085,Mougins
225,60850103,A,0.0,109.40812489677612,Pibonson-Les Faïsses-Ranguin,06085,Mougins
