psp_spe_snds,ann,age_ben_snds,nb,total_nb,ratio
11,21,80,755668,6547717,0.11540938620285514
11,21,99,5990,6547717,0.0009148226778891024
11,22,0,895592,6766424,0.13235824417742667
11,22,20,570673,6766424,0.08433893589878494
11,22,30,666455,6766424,0.09849441891315117
11,22,40,746792,6766424,0.11036730775369678
11,22,50,924439,6766424,0.1366215005148953
11,22,60,1098285,6766424,0.1623139489928506
11,22,70,1081523,6766424,0.15983671729705382
11,22,80,777824,6766424,0.11495348207561336
11,22,99,4841,6766424,0.0007154443765273946
11,23,0,951915,7040887,0.1351981646630602
11,23,20,583505,7040887,0.08287379132771197
11,23,30,692383,7040887,0.09833746799231403
11,23,40,766016,7040887,0.10879538330894957
11,23,50,954363,7040887,0.13554584812964615
11,23,60,1139905,7040887,0.16189792564487968
11,23,70,1142519,7040887,0.1622691856864057
11,23,80,806074,7040887,0.11448472330261798
11,23,99,4207,7040887,0.0005975099444146739
11,24,0,494757,3579944,0.13820244115550412
11,24,20,296737,3579944,0.08288872675103298
11,24,30,350962,3579944,0.09803561173023935
11,24,40,388392,3579944,0.10849108254207328
11,24,50,479271,3579944,0.13387667516586851
11,24,60,580312,3579944,0.16210085967825194
11,24,70,582443,3579944,0.16269612038624068
11,24,80,405201,3579944,0.11318640738514346
11,24,99,1869,3579944,0.0005220752056456749
12,20,0,3744421,5309651,0.7052103801172619
12,20,20,270157,5309651,0.05088036859673074
12,20,30,318337,5309651,0.05995441131629932
12,20,40,218642,5309651,0.041178224331505024
12,20,50,187299,5309651,0.03527519982010117
12,20,60,209333,5309651,0.03942500175623596
12,20,70,209612,5309651,0.03947754758269423
12,20,80,151486,5309651,0.028530312067591636
12,20,99,364,5309651,6.855441157997013e-05
12,21,0,3931908,5620925,0.6995126247014504
12,21,20,287390,5620925,0.051128595382432605
12,21,30,330233,5620925,0.05875065047123027
12,21,40,237506,5620925,0.04225389949163171
12,21,50,205218,5620925,0.03650964921254064
12,21,60,228116,5620925,0.04058335594230487
12,21,70,235376,5620925,0.041874958303126264
12,21,80,164797,5620925,0.029318484057339316
12,21,99,381,5620925,6.778243794393271e-05
12,22,0,4096872,5912589,0.692906609947013
12,22,20,300394,5912589,0.0508058314217342
12,22,30,348316,5912589,0.05891091026283072
12,22,40,255657,5912589,0.04323943368970852
12,22,50,224329,5912589,0.03794090879646801
12,22,60,243529,5912589,0.04118821720907711
12,22,70,261856,5912589,0.044287874567300385
12,22,80,181185,5912589,0.030643936184300988
12,22,99,451,5912589,7.627792156701573e-05
12,23,0,4242745,6127088,0.6924570040449884
12,23,20,308366,6127088,0.05032831256871127
12,23,30,354375,6127088,0.05783742619658801
12,23,40,265250,6127088,0.04329136451116746
12,23,50,233298,6127088,0.03807648919029725
12,23,60,248368,6127088,0.04053605889127102
12,23,70,273775,6127088,0.04468272693325116
12,23,80,200394,6127088,0.03270623826522485
12,23,99,517,6127088,8.437939850056013e-05
12,24,0,2187553,3155816,0.693181414886039
12,24,20,155905,3155816,0.049402436643961496
12,24,30,176964,3155816,0.056075512640787674
12,24,40,134069,3155816,0.0424831485739346
12,24,50,120343,3155816,0.03813371882264365
12,24,60,129762,3155816,0.04111836685028532
12,24,70,145444,3155816,0.046087604600521706
12,24,80,105505,3155816,0.03343192378769865
